[*] '/workspaces/NYCU-UP-2025-Spring/lab3/sample/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
    RUNPATH:  b'.'
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_513      1c960      13ea0     
gop_514      1dc28      16430     
gop_515      1ceb8      14950     
gop_516      1bb80      122e0     
gop_517      1cee0      149a0     
gop_518      1bbd0      12380     
gop_519      1ce50      14880     
gop_520      1bfe0      12ba0     
gop_521      1cd20      14620     
gop_522      1ba60      120a0     
gop_523      1cd48      14670     
gop_524      1ba98      12110     
gop_525      1cd68      146b0     
gop_526      1bac8      12170     
gop_527      1cd98      14710     
gop_528      1c098      12d10     
gop_529      1d348      15270     
gop_530      1d1c8      14f70     
gop_531      1bf18      12a10     
gop_532      1d1f0      14fc0     
gop_533      1bf40      12a60     
gop_534      1d208      14ff0     
gop_535      1bf78      12ad0     
gop_536      1d248      15070     
gop_537      1c518      13610     
gop_538      1d7f8      15bd0     
gop_539      1c548      13670     
gop_540      1d708      159f0     
gop_541      1ca08      13ff0     
gop_542      1dcd8      16590     
gop_543      1ca20      14020     
gop_544      1dd08      165f0     
gop_545      1c9c0      13f60     
gop_546      1dcb0      16540     
gop_547      1c9e8      13fb0     
gop_548      1dd00      165e0     
gop_549      1ca58      14090     
gop_550      1c958      13e90     
gop_551      1dc20      16420     
gop_552      1ceb0      14940     
gop_553      1bb78      122d0     
gop_554      1ced8      14990     
gop_555      1bbc8      12370     
gop_556      1ce48      14870     
gop_557      1bb48      12270     
gop_558      1ce88      148f0     
gop_559      1bbb0      12340     
gop_560      1cd60      146a0     
gop_561      1bac0      12160     
gop_562      1cd90      14700     
gop_563      1c090      12d00     
gop_564      1d340      15260     
gop_565      1c0b8      12d50     
gop_566      1d360      152a0     
gop_567      1c010      12c00     
gop_568      1d2f0      151c0     
gop_569      1c058      12c90     
gop_570      1bf38      12a50     
gop_571      1d200      14fe0     
gop_572      1bf70      12ac0     
gop_573      1d240      15060     
gop_574      1c510      13600     
gop_575      1d7f0      15bc0     
gop_576      1c540      13660     
gop_577      1d818      15c10     
gop_578      1c4b0      13540     
gop_579      1d7b0      15b40     
gop_580      1c798      13b10     
gop_581      1daa0      16120     
gop_582      1c770      13ac0     
gop_583      1da00      15fe0     
gop_584      1c9a0      13f20     
gop_585      1d6b8      15950     
gop_586      1c3c8      13370     
gop_587      1d6d0      15980     
gop_588      1c418      13410     
gop_589      1d6f0      159c0     
gop_590      1df00      169e0     
gop_591      1cbe8      143b0     
gop_592      1de78      168d0     
gop_593      1ce08      147f0     
gop_594      1dbd0      16380     
gop_595      1c8f8      13dd0     
gop_596      1dbe0      163a0     
gop_597      1c920      13e20     
gop_598      1dbf8      163d0     
gop_599      1c950      13e80     
gop_600      1c2d8      13190     
gop_601      1d5c0      15760     
gop_602      1c2e8      131b0     
gop_603      1d5e0      157a0     
gop_604      1c2f8      131d0     
gop_605      1db90      16300     
gop_606      1c8a8      13d30     
gop_607      1dbb0      16340     
gop_608      1c8c8      13d70     
gop_609      1db18      16210     
gop_610      1d618      15810     
gop_611      1bdc8      12770     
gop_612      1d0d0      14d80     
gop_613      1bde0      127a0     
gop_614      1d0f0      14dc0     
gop_615      1bdf8      127d0     
